,Ticker
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ADBE
6,AMD
7,AES
8,AFL
9,A
10,APD
11,ABNB
12,AKAM
13,ALB
14,ARE
15,ALGN
16,ALLE
17,LNT
18,ALL
19,GOOGL
20,GOOG
21,MO
22,AMZN
23,AMCR
24,AEE
25,AEP
26,AXP
27,AIG
28,AMT
29,AWK
30,AMP
31,AME
32,AMGN
33,APH
34,ADI
35,AON
36,APA
37,APO
38,AAPL
39,AMAT
40,APTV
41,ACGL
42,ADM
43,ANET
44,AJG
45,AIZ
46,T
47,ATO
48,ADSK
49,ADP
50,AZO
51,AVB
52,AVY
53,AXON
54,BKR
55,BALL
56,BAC
57,BAX
58,BDX
59,BRK.B
60,BBY
61,TECH
62,BIIB
63,BLK
64,BX
65,XYZ
66,BK
67,BA
68,BKNG
69,BSX
70,BMY
71,AVGO
72,BR
73,BRO
74,BF.B
75,BLDR
76,BG
77,BXP
78,CHRW
79,CDNS
80,CZR
81,CPT
82,CPB
83,COF
84,CAH
85,KMX
86,CCL
87,CARR
88,CAT
89,CBOE
90,CBRE
91,CDW
92,COR
93,CNC
94,CNP
95,CF
96,CRL
97,SCHW
98,CHTR
99,CVX
100,CMG
101,CB
102,CHD
103,CI
104,CINF
105,CTAS
106,CSCO
107,C
108,CFG
109,CLX
110,CME
111,CMS
112,KO
113,CTSH
114,COIN
115,CL
116,CMCSA
117,CAG
118,COP
119,ED
120,STZ
121,CEG
122,COO
123,CPRT
124,GLW
125,CPAY
126,CTVA
127,CSGP
128,COST
129,CTRA
130,CRWD
131,CCI
132,CSX
133,CMI
134,CVS
135,DHR
136,DRI
137,DDOG
138,DVA
139,DAY
140,DECK
141,DE
142,DELL
143,DAL
144,DVN
145,DXCM
146,FANG
147,DLR
148,DG
149,DLTR
150,D
151,DPZ
152,DASH
153,DOV
154,DOW
155,DHI
156,DTE
157,DUK
158,DD
159,EMN
160,ETN
161,EBAY
162,ECL
163,EIX
164,EW
165,EA
166,ELV
167,EMR
168,ENPH
169,ETR
170,EOG
171,EPAM
172,EQT
173,EFX
174,EQIX
175,EQR
176,ERIE
177,ESS
178,EL
179,EG
180,EVRG
181,ES
182,EXC
183,EXE
184,EXPE
185,EXPD
186,EXR
187,XOM
188,FFIV
189,FDS
190,FICO
191,FAST
192,FRT
193,FDX
194,FIS
195,FITB
196,FSLR
197,FE
198,FI
199,F
200,FTNT
201,FTV
202,FOXA
203,FOX
204,BEN
205,FCX
206,GRMN
207,IT
208,GE
209,GEHC
210,GEV
211,GEN
212,GNRC
213,GD
214,GIS
215,GM
216,GPC
217,GILD
218,GPN
219,GL
220,GDDY
221,GS
222,HAL
223,HIG
224,HAS
225,HCA
226,DOC
227,HSIC
228,HSY
229,HPE
230,HLT
231,HOLX
232,HD
233,HON
234,HRL
235,HST
236,HWM
237,HPQ
238,HUBB
239,HUM
240,HBAN
241,HII
242,IBM
243,IEX
244,IDXX
245,ITW
246,INCY
247,IR
248,PODD
249,INTC
250,ICE
251,IFF
252,IP
253,IPG
254,INTU
255,ISRG
256,IVZ
257,INVH
258,IQV
259,IRM
260,JBHT
261,JBL
262,JKHY
263,J
264,JNJ
265,JCI
266,JPM
267,K
268,KVUE
269,KDP
270,KEY
271,KEYS
272,KMB
273,KIM
274,KMI
275,KKR
276,KLAC
277,KHC
278,KR
279,LHX
280,LH
281,LRCX
282,LW
283,LVS
284,LDOS
285,LEN
286,LII
287,LLY
288,LIN
289,LYV
290,LKQ
291,LMT
292,L
293,LOW
294,LULU
295,LYB
296,MTB
297,MPC
298,MKTX
299,MAR
300,MMC
301,MLM
302,MAS
303,MA
304,MTCH
305,MKC
306,MCD
307,MCK
308,MDT
309,MRK
310,META
311,MET
312,MTD
313,MGM
314,MCHP
315,MU
316,MSFT
317,MAA
318,MRNA
319,MHK
320,MOH
321,TAP
322,MDLZ
323,MPWR
324,MNST
325,MCO
326,MS
327,MOS
328,MSI
329,MSCI
330,NDAQ
331,NTAP
332,NFLX
333,NEM
334,NWSA
335,NWS
336,NEE
337,NKE
338,NI
339,NDSN
340,NSC
341,NTRS
342,NOC
343,NCLH
344,NRG
345,NUE
346,NVDA
347,NVR
348,NXPI
349,ORLY
350,OXY
351,ODFL
352,OMC
353,ON
354,OKE
355,ORCL
356,OTIS
357,PCAR
358,PKG
359,PLTR
360,PANW
361,PSKY
362,PH
363,PAYX
364,PAYC
365,PYPL
366,PNR
367,PEP
368,PFE
369,PCG
370,PM
371,PSX
372,PNW
373,PNC
374,POOL
375,PPG
376,PPL
377,PFG
378,PG
379,PGR
380,PLD
381,PRU
382,PEG
383,PTC
384,PSA
385,PHM
386,PWR
387,QCOM
388,DGX
389,RL
390,RJF
391,RTX
392,O
393,REG
394,REGN
395,RF
396,RSG
397,RMD
398,RVTY
399,ROK
400,ROL
401,ROP
402,ROST
403,RCL
404,SPGI
405,CRM
406,SBAC
407,SLB
408,STX
409,SRE
410,NOW
411,SHW
412,SPG
413,SWKS
414,SJM
415,SW
416,SNA
417,SOLV
418,SO
419,LUV
420,SWK
421,SBUX
422,STT
423,STLD
424,STE
425,SYK
426,SMCI
427,SYF
428,SNPS
429,SYY
430,TMUS
431,TROW
432,TTWO
433,TPR
434,TRGP
435,TGT
436,TEL
437,TDY
438,TER
439,TSLA
440,TXN
441,TPL
442,TXT
443,TMO
444,TJX
445,TKO
446,TTD
447,TSCO
448,TT
449,TDG
450,TRV
451,TRMB
452,TFC
453,TYL
454,TSN
455,USB
456,UBER
457,UDR
458,ULTA
459,UNP
460,UAL
461,UPS
462,URI
463,UNH
464,UHS
465,VLO
466,VTR
467,VLTO
468,VRSN
469,VRSK
470,VZ
471,VRTX
472,VTRS
473,VICI
474,V
475,VST
476,VMC
477,WRB
478,GWW
479,WAB
480,WBA
481,WMT
482,DIS
483,WBD
484,WM
485,WAT
486,WEC
487,WFC
488,WELL
489,WST
490,WDC
491,WY
492,WSM
493,WMB
494,WTW
495,WDAY
496,WYNN
497,XEL
498,XYL
499,YUM
500,ZBRA
501,ZBH
502,ZTS
